Time	subj	trialNr	ground1	speed1	dist1	ground2	speed2	dist2	answ	rTime	Speed	Dist	speed_comparison	antwort	condition
1822.8436887	30	57	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(8)	0.35	7	0	0.765873900000088	slow	short	fastslow	1	0
1860.8052576	30	58	viz.VizPrimitive(8)	0.7	7	viz.VizPrimitive(5)	0.35	7	1	0.799441999999999	slow	short	fastslow	0	0
1898.8112179	30	59	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(7)	0.7	7	1	3.49131800000009	slow	short	slowfast	1	0
1971.3358019	30	61	viz.VizPrimitive(5)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	1.29586029999996	normal	short	fastslow	1	1
1985.8073932	30	62	viz.VizPrimitive(6)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	0.665973899999926	normal	long	fastslow	1	2
2023.6577913	30	63	viz.VizPrimitive(7)	1.75	35	viz.VizPrimitive(5)	3.5	35	1	6.05890819999968	normal	long	slowfast	1	2
2066.9056258	30	64	viz.VizPrimitive(5)	0.7	7	viz.VizPrimitive(7)	0.35	7	0	3.05896359999997	slow	short	fastslow	1	0
2107.1665659	30	65	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	1.43261059999986	slow	short	slowfast	0	0
2145.7944243	30	66	viz.VizPrimitive(6)	1.75	7	viz.VizPrimitive(8)	3.5	7	0	4.84177559999989	normal	short	slowfast	0	1
2163.8311524	30	67	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	1	2.00256320000017	normal	long	fastslow	0	2
2234.7119473	30	69	viz.VizPrimitive(5)	0.35	7	viz.VizPrimitive(6)	0.7	7	0	1.84860889999982	slow	short	slowfast	0	0
2273.7619796	30	70	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(8)	1.75	35	1	7.53001649999987	normal	long	fastslow	0	2
2318.4871899	30	71	viz.VizPrimitive(8)	1.75	35	viz.VizPrimitive(6)	3.5	35	1	3.30042860000003	normal	long	slowfast	1	2
2358.9920997	30	72	viz.VizPrimitive(8)	3.5	7	viz.VizPrimitive(7)	1.75	7	0	3.21003340000016	normal	short	fastslow	1	1
2407.3935878	30	74	viz.VizPrimitive(6)	3.5	35	viz.VizPrimitive(5)	1.75	35	0	1.8445442000002	normal	long	fastslow	1	2
2446.4325053	30	75	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	0	5.70848459999979	normal	long	fastslow	1	2
2489.3141806	30	76	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(5)	1.75	7	0	2.28777279999986	normal	short	fastslow	1	1
2504.7964198	30	77	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(5)	0.7	7	1	2.85414360000004	slow	short	slowfast	1	0
2544.8459494	30	78	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(6)	1.75	35	0	3.18753680000009	normal	long	fastslow	1	2
2585.2175352	30	79	viz.VizPrimitive(6)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	2.09753430000001	slow	short	slowfast	0	0
2624.5118616	30	80	viz.VizPrimitive(5)	3.5	35	viz.VizPrimitive(7)	1.75	35	0	1.31969350000008	normal	long	fastslow	1	2
2663.0175375	30	81	viz.VizPrimitive(8)	0.35	7	viz.VizPrimitive(7)	0.7	7	0	3.35453210000014	slow	short	slowfast	0	0
2703.5446807	30	82	viz.VizPrimitive(6)	3.5	7	viz.VizPrimitive(8)	1.75	7	0	1.34614959999999	normal	short	fastslow	1	1
2718.0829022	30	83	viz.VizPrimitive(7)	3.5	35	viz.VizPrimitive(5)	1.75	35	1	2.20012390000011	normal	long	fastslow	0	2
